Event ID,Event,Date,Score,Result,Sport,Location,Opposing Team
91030,Utah,16-May-1952,6 - 3,Win,Baseball,BYU,Utah
91031,Colorado A & M,23-May-1952,6 - 2,Win,Baseball,BYU,Colorado State
91032,Colorado A & M,23-May-1952,2 - 3,Loss,Baseball,BYU,Colorado State
91033,Colorado A & M,24-May-1952,7 - 2,Win,Baseball,BYU,Colorado State
91049,#12 UC Santa Barbara,7-Jan-2012,3 - 0,Win,M Volleyball,UC Santa Barbara,UC Santa Barbara
91184,UC Riverside,18-Feb-2012,6 - 2,Win,Baseball,UC Riverside,UC Riverside
91185,Southern Utah,9-May-2012,4 - 5,Win,Baseball,BYU,Southern Utah
91374,Montana,9-Apr-1954,10 - 5,Win,Baseball,BYU,Montana
91375,Montana,10-Apr-1954,2 - 1,Win,Baseball,BYU,Montana
91376,Utah,16-Apr-1954,7 - 1,Win,Baseball,BYU,Utah
91377,Utah,17-Apr-1954,4 - 5,Loss,Baseball,Utah,Utah
91379,Utah State,24-Apr-1954,2 - 11,Loss,Baseball,Utah State,Utah State
91415,Montana,30-Apr-1954,4 - 5,Loss,Baseball,Montana,Montana
91416,Utah State,24-Apr-1954,6 - 5,Win,Baseball,Utah State,Utah State
91417,Montana,30-Apr-1954,2 - 3,Loss,Baseball,Montana,Montana
91418,Utah,7-May-1954,9 - 10,Loss,Baseball,Utah,Utah
91419,Utah,8-May-1954,6 - 7,Win,Baseball,BYU,Utah
91420,Utah State,14-May-1954,3 - 6,Win,Baseball,BYU,Utah State
91421,Utah State,14-May-1954,1 - 5,Win,Baseball,BYU,Utah State
91678,Nellis Air Force Base,24-Mar-1954,3 - 2,Win,Baseball,UNLV,Nellis AFB
91679,Loyola,26-Mar-1954,0 - 6,Loss,Baseball,Loyola Marymount,Loyola Marymount
91680,Pepperdine,27-May-1954,1 - 8,Loss,Baseball,Pepperdine,Pepperdine
91681,Pepperdine,27-May-1954,2 - 11,Loss,Baseball,Pepperdine,Pepperdine
91700,Montana,13-Apr-1951,4 - 8,Win,Baseball,BYU,Montana
91702,Montana,13-Apr-1951,10 - 6,Loss,Baseball,BYU,Montana
91703,Utah,23-Apr-1951,2 - 14,Loss,Baseball,Utah,Utah
91704,Utah State,28-Apr-1951,3 - 4,Loss,Baseball,Utah State,Utah State
91705,Utah State,28-Apr-1951,12 - 6,Win,Baseball,Utah State,Utah State
91706,Montana,4-May-1951,18 - 4,Win,Baseball,Montana,Montana
91707,Montana,5-May-1951,9 - 5,Win,Baseball,Montana,Montana
91784,Utah,10-May-1951,3 - 12,Loss,Baseball,Utah,Utah
91785,Utah,11-May-1951,11 - 1,Loss,Baseball,BYU,Utah
91786,Utah State,18-May-1951,4 - 3,Loss,Baseball,BYU,Utah State
91787,Utah State,18-May-1951,1 - 13,Win,Baseball,BYU,Utah State
91789,Utah,15-Apr-1950,5 - 6,Win,Baseball,BYU,Utah
91790,Utah,17-Apr-1950,5 - 3,Win,Baseball,Utah,Utah
91792,Tooele Ordnance Depot,7-Apr-1950,6 - 14,Win,Baseball,BYU,Tooele Ordnance Depot
91794,Utah State,27-Apr-1950,16 - 5,Loss,Baseball,BYU,Utah State
91795,Utah State,27-Apr-1950,15 - 3,Loss,Baseball,BYU,Utah State
91796,Utah,12-May-1950,9 - 3,Loss,Baseball,BYU,Utah
91797,Utah,13-May-1950,3 - 9,Loss,Baseball,Utah,Utah
91800,Utah State,19-May-1950,9 - 3,Win,Baseball,Utah State,Utah State
91801,Utah State,19-May-1950,15 - 11,Win,Baseball,Utah State,Utah State
91802,Tooele Ordnace Depot,22-Apr-1949,9 - 14,Win,Baseball,BYU,Tooele Ordnance Depot
91804,Utah State,28-Apr-1949,3 - 5,Loss,Baseball,Utah State,Utah State
91805,Tooele Ordnace Depot,2-May-1949,7 - 28,Win,Baseball,BYU,Tooele Ordnance Depot
91806,Tooele Ordnace Depot,3-May-1949,3 - 5,Win,Baseball,BYU,Tooele Ordnance Depot
91807,Utah State,11-May-1949,2 - 6,Loss,Baseball,Utah State,Utah State
91817,San Diego State Invitational,16-Mar-2012,,Unknown,W Track & Field,SDSU,
91818,USC Invitational,24-Mar-2012,,Unknown,W Track & Field,USC,
91819,Texas Relays,30-Mar-2012,,Unknown,W Track & Field,Texas,
91820,Stanford Invitational,6-Apr-2012,,Unknown,W Track & Field,Stanford,
91821,BYU-USC-Boise State Tri-Meet,7-Apr-2012,,1st,W Track & Field,BYU,
91826,Rafer Johnson/Jackie Joyner-Kersee Invite,13-Apr-2012,,Unknown,W Track & Field,UCLA,
91830,BYU Robison Invitational,27-Apr-2012,,Unknown,W Track & Field,BYU,
91831,Weber State Twilight,2-May-2012,,Unknown,W Track & Field,Weber State,
91833,Georgia Tech Invitational,11-May-2012,,Unknown,W Track & Field,Georgia Tech,
91836,NCAA West Regional,24-May-2012,,Unknown,W Track & Field,Texas,
91838,NCAA Outdoor Championships,6-Jun-2012,,30th,W Track & Field,Drake,
91839,Utah,13-May-1949,7 - 4,Win,Baseball,Utah,Utah
91840,Utah State,19-May-1949,2 - 12,Win,Baseball,BYU,Utah State
91842,Mt. SAC Relays,19-Apr-2012,,Unknown,W Track & Field,Mt. SAC,
91843,Utah State,23-May-1949,10 - 12,Win,Baseball,BYU,Utah State
91858,Utah,24-May-1949,8 - 7,Win,Baseball,BYU,Utah
91860,Utah State,25-May-1949,9 - 6,Win,Baseball,Weber State,Utah State
91861,Denver,27-May-1949,5 - 11,Loss,Baseball,Denver,Denver
91862,Denver,28-May-1949,13 - 0,Win,Baseball,Denver,Denver
91863,Denver,28-May-1949,12 - 10,Win,Baseball,Denver,Denver
91865,San Diego State Invitational,16-Mar-2012,,Unknown,M Track & Field,SDSU,
91866,USC Invitational,23-Mar-2012,,Unknown,M Track & Field,USC,
91867,Texas Relays,30-Mar-2012,,Unknown,M Track & Field,Texas,
91868,Stanford Invitational,6-Apr-2012,,Unknown,M Track & Field,Stanford,
91869,BYU-USC-Boise State Tri-Meet,7-Apr-2012,,1st,M Track & Field,BYU,
91870,Rafer Johnson/Jackie Joyner-Kersee Invite,13-Apr-2012,,Unknown,M Track & Field,UCLA,
91871,Mt. SAC Relays,19-Apr-2012,,Unknown,M Track & Field,Mt. SAC,
91872,BYU Robison Invitational,27-Apr-2012,,Unknown,M Track & Field,BYU,
91873,Weber State Twilight,2-May-2012,,Unknown,M Track & Field,Weber State,
91874,Georgia Tech Invitational,11-May-2012,,Unknown,M Track & Field,Georgia Tech,
91875,NCAA West Regional,24-May-2012,,Unknown,M Track & Field,Texas,
91876,NCAA Outdoor Championships,6-Jun-2012,,21st,M Track & Field,Drake,
91886,Utah,16-Apr-1948,10 - 11,Win,Baseball,BYU,Utah
91887,Utah State,30-Apr-1948,14 - 18,Loss,Baseball,Utah State,Utah State
91888,Utah,10-May-1948,5 - 2,Win,Baseball,Utah,Utah
91889,Utah State,12-May-1948,9 - 10,Win,Baseball,BYU,Utah State
91890,Denver,28-May-1948,14 - 1,Loss,Baseball,BYU,Denver
91891,Denver,29-May-1948,15 - 14,Loss,Baseball,BYU,Denver
91912,Utah,4-Apr-2012,9 - 6,Win,Baseball,Utah,Utah
92018,Washington State,31-Aug-2012,30 - 6,Win,Football,BYU,Washington State
92020,Weber State,8-Sep-2012,45 - 13,Win,Football,BYU,Weber State
92021,Utah,16-Sep-2012,21 - 24,Loss,Football,Utah,Utah
92022,No. 24 Boise State,21-Sep-2012,6 - 7,Loss,Football,Boise State,Boise State
92024,Hawai\'i,29-Sep-2012,47 - 0,Win,Football,BYU,Hawai'i
92025,Utah State,6-Oct-2012,6 - 3,Win,Football,BYU,Utah State
92026,No. 10 Oregon State,13-Oct-2012,24 - 42,Loss,Football,BYU,Oregon State
92027,No. 5 Notre Dame,20-Oct-2012,14 - 17,Loss,Football,Notre Dame,Notre Dame
92028,Georgia Tech,27-Oct-2012,41 - 17,Win,Football,Georgia Tech,Georgia Tech
92029,Idaho,11-Nov-2012,52 - 13,Win,Football,BYU,Idaho
92030,San Jose State,18-Nov-2012,14 - 20,Loss,Football,San Jose State,San Jose State
92031,New Mexico State,24-Nov-2012,50 - 14,Win,Football,New Mexico State,New Mexico State
92163,Dixie College,28-Mar-1953,15 - 2,Win,Baseball,Dixie State,Dixie State
92164,Nellis Air Force Base,29-Mar-1953,2 - 6,Loss,Baseball,UNLV,Nellis AFB
92165,Montana,10-Apr-1953,2 - 12,Win,Baseball,BYU,Montana
92166,Montana,10-Apr-1953,6 - 2,Loss,Baseball,BYU,Montana
92167,Utah,20-Apr-1953,18 - 16,Win,Baseball,Utah,Utah
92168,Utah,21-Apr-1953,3 - 10,Win,Baseball,BYU,Utah
92169,Montana,1-May-1953,5 - 7,Loss,Baseball,Montana,Montana
92170,Montana,1-May-1953,9 - 2,Win,Baseball,Montana,Montana
92171,Utah,8-May-1953,9 - 10,Loss,Baseball,Utah,Utah
92172,Utah,9-May-1953,9 - 10,Loss,Baseball,BYU,Utah
92173,Utah State,25-Apr-1953,17 - 3,Win,Baseball,Utah State,Utah State
92174,Utah State,25-Apr-1953,0 - 2,Loss,Baseball,Utah State,Utah State
92175,Utah State,15-May-1953,10 - 11,Win,Baseball,BYU,Utah State
92176,Utah State,15-May-1953,2 - 0,Loss,Baseball,BYU,Utah State
92361,Gonzaga,4-Mar-2012,58 - 77,Loss,M Basketball,Neutral,Gonzaga
92379,Final vs. Gonzaga,5-Mar-2012,78 - 66,Win,W Basketball,Neutral,Gonzaga
92550,No. 14 Seed Iona,14-Mar-2012,78 - 72,Win,M Basketball,Dayton,
92573,First Round vs. DePaul,17-Mar-2012,55 - 59,Loss,W Basketball,Neutral,DePaul
92616,No. 3 Seed Marquette,15-Mar-2012,68 - 88,Loss,M Basketball,Louisville,Marquette
92901,UVU Collegiate Invitational ,30-Mar-2012,,Unknown,W Track & Field,UVU,
92903,UVU Collegiate Invitational ,30-Mar-2012,,Unknown,M Track & Field,UVU,
92932,Seattle,13-Apr-2012,9 - 3,Win,Baseball,Seattle,Seattle
92967,Southern Utah,3-Apr-2012,8 - 0,Win,Softball,BYU,Southern Utah
93037,NCAA Regional,8-Apr-2012,,Unknown,W Gymnastics,Utah,
93106,Utah Valley,2-May-2012,3 - 1,Win,Softball,BYU,UVU
93253,Mark Faldmo Invitational ,21-Apr-2012,,Unknown,W Track & Field,Utah State,
93287,Second Round: San Francisco,26-Apr-2012,4 - 0,Win,M Tennis,Neutral,San Francisco
93292,Second Round: San Diego,26-Apr-2012,1 - 4,Loss,W Tennis,Neutral,San Diego
93304,Semifinal: Pepperdine,27-Apr-2012,1 - 4,Loss,M Tennis,Neutral,Pepperdine
93442,No. 11 Hawai'i,11-May-2012,6 - 4,Win,Softball,New Mexico State,Hawai'i
93450,Fresno State,12-May-2012,8 - 3,Win,Softball,New Mexico State,Fresno State
93529,No. 11 Oregon,18-May-2012,4 - 6,Loss,Softball,Oregon,Oregon
93535,Portland State,19-May-2012,2 - 0,Win,Softball,Oregon,Portland State
93542,No. 11 Oregon,19-May-2012,4 - 1,Loss,Softball,Oregon,Oregon
93662,UC Irvine,18-Aug-2012,3 - 2,Win,W Soccer,,
93663,Arizona,24-Aug-2012,1 - 0,Win,W Soccer,Arizona,Arizona
93664,Utah,25-Aug-2012,0 - 1,Loss,W Soccer,Utah,Utah
93665,No. 11 Long Beach State,31-Aug-2012,1 - 0,Win,W Soccer,BYU,Long Beach State
93666,Colorado College,2-Sep-2012,2 - 0,Win,W Soccer,BYU,
93667,Texas,7-Sep-2012,5 - 0,Win,W Soccer,BYU,Texas
93668,No. 6 Penn State,9-Sep-2012,3 - 1,Win,W Soccer,BYU,Penn State
93672,Cal Poly,14-Sep-2012,5 - 1,Win,W Soccer,BYU,Cal Poly
93673,No. 23 Washington,16-Sep-2012,3 - 1,Win,W Soccer,BYU,Washington
93674,Utah State,20-Sep-2012,1 - 0,Win,W Soccer,Utah State,Utah State
93675,Oregon,25-Sep-2012,1 - 0,Win,W Soccer,Oregon,Oregon
93676,Utah Valley,28-Sep-2012,1 - 0,Win,W Soccer,BYU,UVU
93678,No. 21 Santa Clara,6-Oct-2012,0 - 0,Tie,W Soccer,BYU,Santa Clara
93679,San Francisco,12-Oct-2012,3 - 1,Win,W Soccer,BYU,San Francisco
93680,Portland,14-Oct-2012,2 - 1,Win,W Soccer,Portland,Portland
93681,Gonzaga,20-Oct-2012,4 - 1,Win,W Soccer,BYU,Gonzaga
93682,San Diego,26-Oct-2012,4 - 1,Win,W Soccer,San Diego,San Diego
93683,Saint Mary's,27-Oct-2012,5 - 0,Win,W Soccer,BYU,Saint Mary's
93684,Loyola Marymount,1-Nov-2012,1 - 0,Win,W Soccer,Loyola Marymount,Loyola Marymount
93685,No. 22 Pepperdine,3-Nov-2012,2 - 0,Win,W Soccer,Pepperdine,Pepperdine
93848,Siena College,4-Sep-1998,3 - 0,Win,W Volleyball,Neutral,Siena
93849,Delaware,4-Sep-1998,3 - 0,Win,W Volleyball,Neutral,
93850,Rutgers,5-Sep-1998,3 - 0,Win,W Volleyball,Neutral,Rutgers
93851,UMass,5-Sep-1998,3 - 1,Win,W Volleyball,UMass,UMass
93852,Washington State,10-Sep-1998,3 - 0,Win,W Volleyball,BYU,Washington State
93853,Long Beach State,11-Sep-1998,1 - 3,Loss,W Volleyball,BYU,Long Beach State
93854,Texas Tech,18-Sep-1998,3 - 0,Win,W Volleyball,BYU,Texas Tech
93855,Northern Illinois,19-Sep-1998,3 - 0,Win,W Volleyball,BYU,NIU
93856,Central Michigan,19-Sep-1998,3 - 0,Win,W Volleyball,BYU,Central Michigan
93857,Weber State,22-Sep-1998,3 - 0,Win,W Volleyball,BYU,Weber State
93858,Wyoming,26-Sep-1998,3 - 0,Win,W Volleyball,BYU,Wyoming
93859,Utah,2-Oct-1998,3 - 0,Win,W Volleyball,Utah,Utah
93860,Idaho State,5-Oct-1998,3 - 1,Win,W Volleyball,BYU,Idaho State
93861,San Diego State,9-Oct-1998,3 - 0,Win,W Volleyball,BYU,SDSU
93862,Hawai'i,10-Oct-1998,3 - 1,Win,W Volleyball,BYU,Hawai'i
93863,Utah State,12-Oct-1998,3 - 1,Win,W Volleyball,Utah State,Utah State
93864,San Jose State,16-Oct-1998,3 - 0,Win,W Volleyball,San Jose State,San Jose State
93865,Fresno State,17-Oct-1998,3 - 0,Win,W Volleyball,Fresno State,Fresno State
93866,UTEP,23-Oct-1998,3 - 0,Win,W Volleyball,BYU,UTEP
93867,UC Santa Barbara,23-Oct-1998,3 - 0,Win,W Volleyball,BYU,UC Santa Barbara
93868,New Mexico,24-Oct-1998,3 - 0,Win,W Volleyball,BYU,New Mexico
93869,Utah,30-Oct-1998,3 - 0,Win,W Volleyball,BYU,Utah
93870,Hawai'i,5-Nov-1998,2 - 3,Loss,W Volleyball,Hawai'i,Hawai'i
93871,San Diego State,7-Nov-1998,3 - 0,Win,W Volleyball,SDSU,SDSU
93872,Fresno State,13-Nov-1998,3 - 0,Win,W Volleyball,BYU,Fresno State
93873,San Jose State,14-Nov-1998,3 - 0,Win,W Volleyball,BYU,San Jose State
93874,New Mexico,20-Nov-1998,3 - 0,Win,W Volleyball,New Mexico,New Mexico
93875,UTEP,21-Nov-1998,3 - 0,Win,W Volleyball,UTEP,UTEP
93876,Wyoming,25-Nov-1998,3 - 0,Win,W Volleyball,Neutral,Wyoming
93877,UNLV,27-Nov-1998,3 - 0,Win,W Volleyball,Neutral,UNLV
93878,Hawai'i,28-Nov-1998,2 - 3,Loss,W Volleyball,Neutral,Hawai'i
93879,Coastal Carolina,4-Dec-1998,3 - 0,Win,W Volleyball,BYU,Coastal Carolina
93880,Kansas State,5-Dec-1998,3 - 0,Win,W Volleyball,BYU,Kansas State
93881,Pacific,11-Dec-1998,3 - 1,Win,W Volleyball,Neutral,Pacific
93882,Penn State,12-Dec-1998,0 - 3,Loss,W Volleyball,Penn State,Penn State
93883,Penn State,22-Aug-1997,1 - 3,Loss,W Volleyball,Neutral,Penn State
93884,Texas A&M,23-Aug-1997,3 - 0,Win,W Volleyball,Neutral,Texas A&M
93885,UC Santa Barbara,29-Aug-1997,0 - 3,Loss,W Volleyball,Neutral,UC Santa Barbara
93886,Long Beach State,30-Aug-1997,1 - 3,Loss,W Volleyball,Long Beach State,Long Beach State
93887,Washington,5-Sep-1997,3 - 0,Win,W Volleyball,BYU,Washington
93888,Oral Roberts,6-Sep-1997,3 - 0,Win,W Volleyball,BYU,Oral Roberts
93889,Texas,6-Sep-1997,3 - 0,Win,W Volleyball,BYU,Texas
93890,Weber State,9-Sep-1997,3 - 0,Win,W Volleyball,Weber State,Weber State
93891,Florida,12-Sep-1997,1 - 3,Loss,W Volleyball,Florida,Florida
93892,Louisville,13-Sep-1997,3 - 1,Win,W Volleyball,Neutral,Louisville
93893,Kent University,13-Sep-1997,3 - 0,Win,W Volleyball,Neutral,Kent State
93894,Utah State,16-Sep-1997,3 - 0,Win,W Volleyball,BYU,Utah State
93895,UTEP,25-Sep-1997,3 - 0,Win,W Volleyball,UTEP,UTEP
93896,New Mexico,26-Sep-1997,3 - 0,Win,W Volleyball,New Mexico,New Mexico
93897,Colorado State,2-Oct-1997,3 - 0,Win,W Volleyball,BYU,Colorado State
93898,Wyoming,4-Oct-1997,3 - 1,Win,W Volleyball,BYU,Wyoming
93899,Idaho State,7-Oct-1997,3 - 0,Win,W Volleyball,Idaho State,Idaho State
93900,Air Force,10-Oct-1997,3 - 0,Win,W Volleyball,Air Force,Air Force
93901,UNLV,11-Oct-1997,3 - 0,Win,W Volleyball,UNLV,UNLV
93902,TCU,16-Oct-1997,3 - 0,Win,W Volleyball,TCU,TCU
93903,Utah,17-Oct-1997,3 - 0,Win,W Volleyball,BYU,Utah
93904,New Mexico,24-Oct-1997,3 - 0,Win,W Volleyball,BYU,New Mexico
93905,UTEP,25-Oct-1997,3 - 0,Win,W Volleyball,BYU,UTEP
93906,Wyoming,31-Oct-1997,3 - 0,Win,W Volleyball,Wyoming,Wyoming
93907,Colorado State,1-Nov-1997,1 - 3,Loss,W Volleyball,Colorado State,Colorado State
93908,UNLV,7-Nov-1997,3 - 0,Win,W Volleyball,BYU,UNLV
93909,Air Force,8-Nov-1997,3 - 0,Win,W Volleyball,BYU,Air Force
93910,Utah,14-Nov-1997,3 - 0,Win,W Volleyball,Utah,Utah
93911,TCU,21-Nov-1997,3 - 0,Win,W Volleyball,BYU,TCU
93912,San Jose State,25-Nov-1997,3 - 0,Win,W Volleyball,Neutral,San Jose State
93913,San Diego State,26-Nov-1997,3 - 0,Win,W Volleyball,Neutral,SDSU
93914,Hawai'i,28-Nov-1997,3 - 0,Win,W Volleyball,Neutral,Hawai'i
93915,Minnesota,5-Dec-1997,3 - 0,Win,W Volleyball,BYU,Minnesota
93916,Texas A&M,12-Dec-1997,3 - 2,Win,W Volleyball,Neutral,Texas A&M
93917,Penn State,13-Dec-1997,0 - 3,Loss,W Volleyball,Penn State,Penn State
93918,Nebraska,30-Aug-1996,2 - 3,Loss,W Volleyball,Neutral,Nebraska
93919,Arkansas State,31-Aug-1996,3 - 0,Win,W Volleyball,Neutral,
93920,Pacific,6-Sep-1996,1 - 3,Loss,W Volleyball,BYU,Pacific
93921,Pepperdine,7-Sep-1996,2 - 3,Loss,W Volleyball,BYU,Pepperdine
93922,Long Beach State,13-Sep-1996,1 - 3,Loss,W Volleyball,BYU,Long Beach State
93923,Weber State,17-Sep-1996,3 - 0,Win,W Volleyball,BYU,Weber State
93924,San Diego State,27-Sep-1996,2 - 3,Loss,W Volleyball,SDSU,SDSU
93925,San Diego,28-Sep-1996,0 - 3,Loss,W Volleyball,San Diego,San Diego
93926,Weber State,1-Oct-1996,3 - 1,Win,W Volleyball,Weber State,Weber State
93927,Utah,4-Oct-1996,3 - 1,Win,W Volleyball,BYU,Utah
93928,Northern Arizona,5-Oct-1996,3 - 0,Win,W Volleyball,BYU,Northern Arizona
93929,Southern Methodist,11-Oct-1996,3 - 0,Win,W Volleyball,SMU,SMU
93930,TCU,12-Oct-1996,3 - 0,Win,W Volleyball,TCU,TCU
93931,Utah State,15-Oct-1996,3 - 0,Win,W Volleyball,Utah State,Utah State
93932,Rice,18-Oct-1996,3 - 0,Win,W Volleyball,BYU,Rice
93933,Tulsa,19-Oct-1996,3 - 0,Win,W Volleyball,BYU,Tulsa
93934,New Mexico,25-Oct-1996,3 - 0,Win,W Volleyball,New Mexico,New Mexico
93935,UTEP,26-Oct-1996,3 - 0,Win,W Volleyball,UTEP,UTEP
93936,Utah,29-Oct-1996,3 - 1,Win,W Volleyball,Utah,Utah
93937,San Diego State,1-Nov-1996,3 - 2,Win,W Volleyball,BYU,SDSU
93938,Idaho State,5-Nov-1996,3 - 0,Win,W Volleyball,BYU,Idaho State
93939,TCU,8-Nov-1996,3 - 0,Win,W Volleyball,BYU,TCU
93940,Southern Methodist,9-Nov-1996,3 - 0,Win,W Volleyball,BYU,SMU
93941,Oklahoma,14-Nov-1996,3 - 1,Win,W Volleyball,Oklahoma,Oklahoma
93942,Tulsa,15-Nov-1996,3 - 0,Win,W Volleyball,Tulsa,Tulsa
93943,Rice,16-Nov-1996,3 - 0,Win,W Volleyball,Rice,Rice
93944,UTEP,22-Nov-1996,3 - 0,Win,W Volleyball,BYU,UTEP
93945,New Mexico,23-Nov-1996,3 - 0,Win,W Volleyball,BYU,New Mexico
93946,Colorado State,27-Nov-1996,3 - 1,Win,W Volleyball,Neutral,Colorado State
93947,San Diego State,29-Nov-1996,3 - 1,Win,W Volleyball,Neutral,SDSU
93948,Hawai'i,30-Nov-1996,3 - 2,Win,W Volleyball,Neutral,Hawai'i
93949,Washington,7-Dec-1996,3 - 1,Win,W Volleyball,BYU,Washington
93950,Pacific,12-Dec-1996,3 - 2,Win,W Volleyball,Neutral,Pacific
93951,Hawai'i,13-Dec-1996,0 - 3,Loss,W Volleyball,Hawai'i,Hawai'i
93952,Gonzaga,1-Sep-1995,3 - 0,Win,W Volleyball,Neutral,Gonzaga
93953,New Mexico State,2-Sep-1995,3 - 2,Win,W Volleyball,Neutral,New Mexico State
93954,Washington State,2-Sep-1995,0 - 3,Loss,W Volleyball,Washington State,Washington State
93955,Minnesota,7-Sep-1995,3 - 1,Win,W Volleyball,BYU,Minnesota
93956,Colorado,8-Sep-1995,1 - 3,Loss,W Volleyball,BYU,Colorado
93957,Georgia,9-Sep-1995,3 - 1,Win,W Volleyball,BYU,Georgia
93958,Idaho State,12-Sep-1995,3 - 1,Win,W Volleyball,Idaho State,Idaho State
93959,Utah,15-Sep-1995,3 - 0,Win,W Volleyball,BYU,Utah
93960,Utah State,16-Sep-1995,3 - 0,Win,W Volleyball,BYU,Utah State
93961,Weber State,16-Sep-1995,3 - 0,Win,W Volleyball,BYU,Weber State
93962,Utah,22-Sep-1995,0 - 3,Loss,W Volleyball,Utah,Utah
93963,Colorado State,29-Sep-1995,3 - 0,Win,W Volleyball,BYU,Colorado State
93964,Wyoming,30-Sep-1995,3 - 0,Win,W Volleyball,BYU,Wyoming
93965,Fresno State,6-Oct-1995,3 - 2,Win,W Volleyball,Fresno State,Fresno State
93966,San Diego State,7-Oct-1995,1 - 3,Loss,W Volleyball,SDSU,SDSU
93967,New Mexico,13-Oct-1995,0 - 3,Loss,W Volleyball,BYU,New Mexico
93968,UTEP,14-Oct-1995,3 - 0,Win,W Volleyball,BYU,UTEP
93969,Weber State,17-Oct-1995,3 - 1,Win,W Volleyball,Weber State,Weber State
93970,Utah,20-Oct-1995,3 - 1,Win,W Volleyball,BYU,Utah
93971,Texas A&M,27-Oct-1995,2 - 3,Loss,W Volleyball,BYU,Texas A&M
93972,Wyoming,3-Nov-1995,3 - 2,Win,W Volleyball,Wyoming,Wyoming
93973,Colorado State,4-Nov-1995,3 - 1,Win,W Volleyball,Colorado State,Colorado State
93974,San Diego State,10-Nov-1995,3 - 1,Win,W Volleyball,BYU,SDSU
93975,Fresno State,11-Nov-1995,3 - 0,Win,W Volleyball,BYU,Fresno State
93976,UTEP,17-Nov-1995,3 - 0,Win,W Volleyball,UTEP,UTEP
93977,New Mexico,18-Nov-1995,3 - 0,Win,W Volleyball,New Mexico,New Mexico
93978,UC Santa Barbara,24-Nov-1995,2 - 3,Loss,W Volleyball,Neutral,UC Santa Barbara
93979,Long Beach State,25-Nov-1995,1 - 3,Loss,W Volleyball,Long Beach State,Long Beach State
93980,Houston,29-Nov-1995,3 - 0,Win,W Volleyball,BYU,Houston
93981,Michigan State,2-Dec-1995,0 - 3,Loss,W Volleyball,Michigan State,Michigan State
93982,Butler,1-Sep-1994,3 - 0,Win,W Volleyball,Neutral,Butler
93983,Colorado,2-Sep-1994,3 - 1,Win,W Volleyball,Colorado,Colorado
93984,Washington,3-Sep-1994,3 - 1,Win,W Volleyball,Neutral,Washington
93985,Utah State,6-Sep-1994,3 - 0,Win,W Volleyball,BYU,Utah State
93986,Washington,9-Sep-1994,3 - 1,Win,W Volleyball,BYU,Washington
93987,San Jose State,10-Sep-1994,2 - 3,Loss,W Volleyball,BYU,San Jose State
93988,Southern  California,16-Sep-1994,0 - 3,Loss,W Volleyball,BYU,USC
93989,Gonzaga,17-Sep-1994,3 - 0,Win,W Volleyball,BYU,Gonzaga
93990,San Diego State,23-Sep-1994,3 - 1,Win,W Volleyball,SDSU,SDSU
93991,Fresno State,24-Sep-1994,2 - 3,Loss,W Volleyball,Fresno State,Fresno State
93992,Weber State,27-Sep-1994,3 - 0,Win,W Volleyball,Weber State,Weber State
93993,Wyoming,30-Sep-1994,3 - 2,Win,W Volleyball,BYU,Wyoming
93994,Colorado State,1-Oct-1994,3 - 1,Win,W Volleyball,BYU,Colorado State
93995,Utah,7-Oct-1994,3 - 1,Win,W Volleyball,BYU,Utah
93996,Weber State,11-Oct-1994,3 - 0,Win,W Volleyball,BYU,Weber State
93997,New Mexico,14-Oct-1994,3 - 0,Win,W Volleyball,New Mexico,New Mexico
93998,UTEP,15-Oct-1994,3 - 0,Win,W Volleyball,UTEP,UTEP
93999,Oklahoma,21-Oct-1994,3 - 0,Win,W Volleyball,BYU,Oklahoma
94000,California,22-Oct-1994,3 - 0,Win,W Volleyball,BYU,Cal
94001,Fresno State,28-Oct-1994,3 - 0,Win,W Volleyball,BYU,Fresno State
94002,San Diego State,29-Oct-1994,3 - 0,Win,W Volleyball,BYU,SDSU
94003,Colorado State,4-Nov-1994,3 - 1,Win,W Volleyball,Colorado State,Colorado State
94004,Wyoming,5-Nov-1994,3 - 2,Win,W Volleyball,Wyoming,Wyoming
94005,Utah,11-Nov-1994,3 - 1,Win,W Volleyball,Utah,Utah
94006,UTEP,18-Nov-1994,3 - 0,Win,W Volleyball,BYU,UTEP
94007,New Mexico,19-Nov-1994,3 - 1,Win,W Volleyball,BYU,New Mexico
94008,Texas A&M,25-Nov-1994,3 - 2,Win,W Volleyball,Texas A&M,Texas A&M
94009,Texas,26-Nov-1994,3 - 1,Win,W Volleyball,Texas,Texas
94010,Arizona,3-Dec-1994,1 - 3,Loss,W Volleyball,BYU,Arizona
94011,Hawai'i,2-Sep-1993,0 - 3,Loss,W Volleyball,Hawai'i,Hawai'i
94012,Hawai'i,3-Sep-1993,3 - 0,Win,W Volleyball,Hawai'i,Hawai'i
94013,Weber State,8-Sep-1993,3 - 0,Win,W Volleyball,BYU,Weber State
94014,Sacramento State,9-Sep-1993,3 - 1,Win,W Volleyball,BYU,
94015,Idaho State,15-Sep-1993,3 - 0,Win,W Volleyball,BYU,Idaho State
94016,Minnesota,17-Sep-1993,3 - 0,Win,W Volleyball,Minnesota,Minnesota
94017,George Washington,18-Sep-1993,3 - 0,Win,W Volleyball,Neutral,GW
94018,Illinois State,18-Sep-1993,3 - 1,Win,W Volleyball,Neutral,
