Event ID,Event,Date,Score,Result,Sport,Location,Opposing Team
73372,Sacramento State,26-Oct-2001,3 - 1,Win,W Volleyball,,
73373,Air Force,27-Oct-2001,3 - 0,Win,W Volleyball,Air Force,Air Force
73374,New Mexico,28-Oct-2001,3 - 0,Win,W Volleyball,New Mexico,New Mexico
73375,Weber State,31-Oct-2001,3 - 1,Win,W Volleyball,Weber State,Weber State
73376,Colorado State,3-Nov-2001,0 - 3,Loss,W Volleyball,BYU,Colorado State
73377,Wyoming,4-Nov-2001,3 - 0,Win,W Volleyball,BYU,Wyoming
73378,UNLV,10-Nov-2001,1 - 3,Loss,W Volleyball,UNLV,UNLV
73379,San Diego State,11-Nov-2001,3 - 0,Win,W Volleyball,SDSU,SDSU
73380,Wyoming,16-Nov-2001,3 - 0,Win,W Volleyball,BYU,Wyoming
73381,Cal Poly SLO,24-Nov-2001,3 - 2,Win,W Volleyball,Long Beach State,Cal Poly
73382,Long Beach State,25-Nov-2001,1 - 3,Loss,W Volleyball,Long Beach State,Long Beach State
73383,Utah State,29-Nov-2001,2 - 3,Loss,W Volleyball,Utah,Utah State
73384,ITA Team Tennis Championship,28-Sep-2001,0 - 0,Unknown,M Tennis,,Opp
73385,BYU Invitational,4-Oct-2001,0 - 0,Unknown,M Tennis,BYU,BYU
73386,All-American Championships,11-Oct-2001,0 - 0,Unknown,M Tennis,,Opp
73387,ITA Region VII Championships,24-Oct-2001,0 - 0,Unknown,M Tennis,,Opp
73388,Rolex Intercollegiate Indoor,8-Nov-2001,0 - 0,Unknown,M Tennis,,Opp
73389,Southern California Intercollegiate,7-Nov-2001,0 - 0,Unknown,M Tennis,USC,USC
73390,Milwaukee Tennis Classic,9-Jan-2002,0 - 0,Unknown,M Tennis,,
73391,Team Regional Qualifying,25-Jan-2002,0 - 0,Unknown,M Tennis,,Opp
73392,University of Oregon,1-Feb-2002,3 - 4,Loss,M Tennis,Oregon,Oregon
73393,University of Washington,2-Feb-2002,2 - 5,Loss,M Tennis,Washington,Washington
73394,National Team Indoors,7-Feb-2002,0 - 0,Unknown,M Tennis,,Opp
73395,USC,19-Feb-2002,0 - 0,Unknown,M Tennis,USC,USC
73396,UC Irvine,20-Feb-2002,4 - 3,Win,M Tennis,,
73397,Utah State University,1-Mar-2002,7 - 0,Win,M Tennis,BYU,Utah State
73398,University of Portland,2-Mar-2002,5 - 2,Win,M Tennis,BYU,Portland
73399,University of Denver,9-Mar-2002,0 - 0,Unknown,M Tennis,BYU,Denver
73400,Princeton,16-Mar-2002,4 - 3,Win,M Tennis,,
73401,Sacramento State University,25-Mar-2002,5 - 2,Win,M Tennis,,
73402,California,26-Mar-2002,2 - 5,Loss,M Tennis,Cal,Cal
73403,Stanford,27-Mar-2002,0 - 7,Loss,M Tennis,Stanford,Stanford
73404,Boise State,30-Mar-2002,6 - 1,Win,M Tennis,BYU,Boise State
73405,New Mexico State,4-Apr-2002,7 - 0,Win,M Tennis,New Mexico State,New Mexico State
73406,Air Force,5-Apr-2002,5 - 2,Win,M Tennis,Air Force,Air Force
73407,New Mexico,6-Apr-2002,6 - 1,Win,M Tennis,New Mexico,New Mexico
73408,Utah,11-Apr-2002,7 - 0,Win,M Tennis,Utah,Utah
73409,UNLV,12-Apr-2002,6 - 1,Win,M Tennis,UNLV,UNLV
73410,San Diego State,13-Apr-2002,0 - 0,Unknown,M Tennis,SDSU,SDSU
73411,Mountain West Championships,25-Apr-2002,0 - 0,Unknown,M Tennis,,Opp
73412,NCAA First Round,9-May-2002,0 - 0,Unknown,M Tennis,,Opp
73413,NCAA Championships,18-May-2002,0 - 0,Unknown,M Tennis,,Opp
73414,Utah,17-Nov-2001,1 - 3,Loss,W Volleyball,BYU,Utah
73415,Oregon State,26-Jan-2002,194 - 193,1st,W Gymnastics,Oregon State,Oregon State
73416,Cat Classic,2-Feb-2002,195 - 0,1st,W Gymnastics,Missouri,Auburn
73417,Utah State,9-Feb-2002,195 - 192,1st,W Gymnastics,Utah State,Utah State
73418,Southern Utah,16-Feb-2002,196 - 192,1st,W Gymnastics,Southern Utah,Southern Utah
73419,Boise State/Utah State,23-Feb-2002,196 - 193,1st,W Gymnastics,BYU,Boise State
73420,Utah,2-Mar-2002,196 - 198,2nd,W Gymnastics,BYU,Utah
73421,Missouri,10-Mar-2002,195 - 194,1st,W Gymnastics,BYU,Missouri
73422,Boise State,12-Mar-2002,195 - 195,2nd,W Gymnastics,Boise State,Boise State
73423,Southern Utah,16-Mar-2002,197 - 196,1st,W Gymnastics,BYU,Southern Utah
73424,Utah,24-Mar-2002,195 - 198,2nd,W Gymnastics,Utah,Utah
73425,NCAA Regionals,7-Apr-2002,194 - 0,4th,W Gymnastics,Arizona State,Opp
73426,NCAA Nationals,18-Apr-2002,0 - 0,Unknown,W Gymnastics,,Opp
73427,Southern Utah,1-Feb-2002,10 - 1,Win,Softball,Southern Utah,Southern Utah
73428,No. 18 Oregon State,2-Feb-2002,4 - 1,Win,Softball,Dixie State,Oregon State
73429,San Diego,2-Feb-2002,1 - 2,Loss,Softball,Dixie State,San Diego
73430,Saint Mary's,2-Feb-2002,11 - 4,Win,Softball,Dixie State,Saint Mary's
73431,Loyola Marymount,20-Feb-2002,5 - 0,Win,Softball,Loyola Marymount,Loyola Marymount
73432,UC Santa Barbara,21-Feb-2002,2 - 4,Loss,Softball,UC Santa Barbara,UC Santa Barbara
73433,No. 7 California,22-Feb-2002,0 - 1,Loss,Softball,UC Santa Barbara,Cal
73434,Sacramento State,22-Feb-2002,2 - 4,Loss,Softball,UC Santa Barbara,
73435,Providence,24-Feb-2002,12 - 2,Win,Softball,UC Santa Barbara,Providence
73436,Santa Clara,23-Feb-2002,12 - 0,Win,Softball,UC Santa Barbara,Santa Clara
73437,No. 12 Washington,1-Mar-2002,6 - 4,Win,Softball,Dixie State,Washington
73438,UC Santa Barbara,1-Mar-2002,4 - 3,Win,Softball,Dixie State,UC Santa Barbara
73439,Oregon,2-Mar-2002,8 - 7,Win,Softball,Dixie State,Oregon
73440,Utah State,2-Mar-2002,7 - 6,Win,Softball,Dixie State,Utah State
73441,Maryland,7-Mar-2002,10 - 8,Win,Softball,Neutral,Maryland
73442,Houston,8-Mar-2002,4 - 7,Loss,Softball,Neutral,Houston
73443,Michigan State,8-Mar-2002,2 - 0,Win,Softball,Neutral,Michigan State
73444,Florida International,8-Mar-2002,1 - 2,Loss,Softball,Neutral,FIU
73445,Georgia State,9-Mar-2002,4 - 3,Win,Softball,Neutral,Georgia State
73446,Southern Utah,16-Mar-2002,4 - 3,Win,Softball,BYU,Southern Utah
73447,No. 2 Stanford,23-Mar-2002,3 - 6,Loss,Softball,Stanford,Stanford
73448,No. 2 Stanford,23-Mar-2002,5 - 4,Win,Softball,Stanford,Stanford
73449,Utah State,27-Mar-2002,7 - 1,Win,Softball,BYU,Utah State
73450,Utah State,27-Mar-2002,9 - 8,Win,Softball,BYU,Utah State
73451,UNLV,29-Mar-2002,7 - 3,Win,Softball,UNLV,UNLV
73452,UNLV,29-Mar-2002,6 - 1,Win,Softball,UNLV,UNLV
73453,San Diego State,30-Mar-2002,4 - 5,Loss,Softball,SDSU,SDSU
73454,San Diego State,30-Mar-2002,0 - 2,Loss,Softball,SDSU,SDSU
73455,Colorado State,5-Apr-2002,0 - 6,Loss,Softball,BYU,Colorado State
73456,Colorado State,5-Apr-2002,5 - 6,Loss,Softball,BYU,Colorado State
73457,New Mexico,6-Apr-2002,6 - 7,Loss,Softball,BYU,New Mexico
73458,New Mexico,6-Apr-2002,6 - 0,Win,Softball,BYU,New Mexico
73459,Utah State,11-Apr-2002,7 - 3,Win,Softball,Utah State,Utah State
73460,Utah State,11-Apr-2002,3 - 2,Win,Softball,Utah State,Utah State
73461,Utah,13-Apr-2002,2 - 3,Loss,Softball,Utah,Utah
73462,Utah,13-Apr-2002,7 - 8,Loss,Softball,Utah,Utah
73463,San Diego State,19-Apr-2002,2 - 10,Loss,Softball,BYU,SDSU
73464,San Diego State,19-Apr-2002,6 - 3,Win,Softball,BYU,SDSU
73465,Colorado State,2-May-2002,1 - 0,Win,Softball,Colorado State,Colorado State
73466,Colorado State,2-May-2002,2 - 1,Win,Softball,Colorado State,Colorado State
73467,New Mexico,4-May-2002,7 - 8,Loss,Softball,New Mexico,New Mexico
73468,New Mexico,4-May-2002,2 - 6,Loss,Softball,New Mexico,New Mexico
73469,New Mexico,9-May-2002,1 - 4,Loss,Softball,BYU,New Mexico
73470,World Team Tennis,28-Sep-2001,0 - 0,Unknown,W Tennis,,Opp
73471,BYU Invitational,11-Oct-2001,0 - 0,Unknown,W Tennis,BYU,BYU
73472,Omni Hotels Region Championship,24-Oct-2001,0 - 0,Unknown,W Tennis,,Opp
73473,Duck Classic Tournament,9-Nov-2001,0 - 0,Unknown,W Tennis,,Opp
73474,South Carolina,25-Jan-2002,0 - 0,Unknown,W Tennis,South Carolina,South Carolina
73475,Georgia,26-Jan-2002,0 - 0,Unknown,W Tennis,Georgia,Georgia
73476,Wisconsin,1-Feb-2002,0 - 0,Unknown,W Tennis,Wisconsin,Wisconsin
73477,Northwestern,2-Feb-2002,0 - 0,Unknown,W Tennis,Northwestern,Northwestern
73478,Purdue,16-Feb-2002,0 - 0,Unknown,W Tennis,Purdue,Purdue
73479,Notre Dame,18-Feb-2002,0 - 0,Unknown,W Tennis,Notre Dame,Notre Dame
73480,Tennessee,21-Feb-2002,0 - 0,Unknown,W Tennis,Tennessee,Tennessee
73481,Mississippi,22-Feb-2002,0 - 0,Unknown,W Tennis,Ole Miss,Ole Miss
73482,Washington,1-Mar-2002,0 - 0,Unknown,W Tennis,BYU,Washington
73483,Kansas,2-Mar-2002,0 - 0,Unknown,W Tennis,BYU,Kansas
73484,Washington State,4-Mar-2002,0 - 0,Unknown,W Tennis,BYU,Washington State
73485,Southern Methodist,12-Mar-2002,0 - 0,Unknown,W Tennis,BYU,SMU
73486,Kansas State,16-Mar-2002,0 - 0,Unknown,W Tennis,BYU,Kansas State
73487,Rice,16-Mar-2002,0 - 0,Unknown,W Tennis,BYU,Rice
73488,TCU,18-Mar-2002,0 - 0,Unknown,W Tennis,BYU,TCU
73489,UNLV,22-Mar-2002,0 - 0,Unknown,W Tennis,UNLV,UNLV
73490,San Diego State,23-Mar-2002,0 - 0,Unknown,W Tennis,SDSU,SDSU
73491,Air Force,29-Mar-2002,0 - 0,Unknown,W Tennis,BYU,Air Force
73492,New Mexico,30-Mar-2002,0 - 0,Unknown,W Tennis,New Mexico,New Mexico
73493,Colorado State,5-Apr-2002,0 - 0,Unknown,W Tennis,Colorado State,Colorado State
73494,Wyoming,6-Apr-2002,0 - 0,Unknown,W Tennis,Wyoming,Wyoming
73495,Utah,12-Apr-2002,0 - 0,Unknown,W Tennis,Utah,Utah
73496,MWC Championships,25-Apr-2002,0 - 0,Unknown,W Tennis,BYU,Opp
73497,NCAA Championships,16-May-2002,0 - 0,Unknown,W Tennis,,Opp
73498,USC,31-Aug-2001,2 - 0,Win,W Soccer,BYU,USC
73499,Tennessee,1-Sep-2001,1 - 2,Loss,W Soccer,BYU,Tennessee
73500,Minnesota,8-Sep-2001,3 - 0,Win,W Soccer,Northwestern,Minnesota
73501,Northwestern,10-Sep-2001,1 - 0,Win,W Soccer,Northwestern,Northwestern
73504,Washington,21-Sep-2001,1 - 1,Tie,W Soccer,Washington,Washington
73505,Portland,22-Sep-2001,1 - 2,Loss,W Soccer,Washington,Portland
73506,Weber State,25-Sep-2001,2 - 0,Win,W Soccer,Weber State,Weber State
73507,Arizona,28-Sep-2001,2 - 0,Win,W Soccer,BYU,Arizona
73508,Boston,29-Sep-2001,4 - 0,Win,W Soccer,BYU,
73509,Virginia,4-Oct-2001,2 - 3,Loss,W Soccer,Virginia,Virginia
73510,Wake Forest,6-Oct-2001,2 - 3,Loss,W Soccer,Wake Forest,Wake Forest
73511,UNLV,11-Oct-2001,3 - 1,Win,W Soccer,UNLV,UNLV
73512,San Diego State,13-Oct-2001,3 - 2,Win,W Soccer,SDSU,SDSU
73513,Nebraska,17-Oct-2001,0 - 2,Loss,W Soccer,Nebraska,Nebraska
73514,New Mexico,19-Oct-2001,0 - 1,Loss,W Soccer,BYU,New Mexico
73515,Air Force,25-Oct-2001,7 - 0,Win,W Soccer,BYU,Air Force
73516,Wyoming,27-Oct-2001,6 - 0,Win,W Soccer,BYU,Wyoming
73517,Utah,3-Nov-2001,3 - 0,Win,W Soccer,BYU,Utah
